Date,Open,High,Low,Close,Adj Close,Volume
2015-03-23,32.500000,32.619999,31.680000,31.820000,31.556480,5785736
2015-03-24,32.000000,32.330002,31.400000,31.680000,31.417645,8583173
2015-03-25,31.410000,32.000000,31.040001,31.580000,31.318468,6114867
2015-03-26,31.600000,31.879999,31.000000,31.200001,30.941618,9576703
2015-03-27,31.299999,31.650000,31.100000,31.549999,31.288721,7336923
2015-03-30,31.570000,31.770000,31.030001,31.340000,31.080460,6500665
2015-03-31,31.100000,31.440001,30.650000,30.799999,30.544930,8219221
2015-04-01,31.180000,31.400000,30.540001,31.059999,30.802778,7448345
2015-04-06,31.020000,32.000000,30.820000,31.860001,31.596151,5218352
2015-04-07,31.990000,33.490002,31.969999,33.150002,32.875469,12254888
2015-04-08,33.160000,33.990002,32.860001,33.529999,33.252316,12808053
2015-04-09,33.480000,33.799999,32.709999,32.820000,32.548199,4715780
2015-04-10,32.700001,32.759998,31.990000,32.209999,31.943256,6008473
2015-04-13,32.400002,32.980000,32.130001,32.259998,31.992830,7096245
2015-04-14,32.299999,33.060001,32.259998,32.910000,32.637455,6526893
2015-04-15,33.000000,33.950001,32.810001,33.150002,32.875469,10631539
2015-04-16,33.200001,33.570000,32.000000,33.130001,32.855637,5638234
2015-04-17,33.209999,33.790001,32.799999,33.150002,32.875469,5857322
2015-04-20,32.980000,33.480000,32.799999,33.040001,32.766373,3996566
2015-04-21,33.000000,33.099998,32.320000,32.610001,32.369335,12885969
2015-04-22,32.840000,32.889999,32.299999,32.610001,32.369335,9960833
2015-04-23,32.700001,32.880001,32.160000,32.349998,32.111252,8638333
2015-04-24,32.500000,32.990002,32.290001,32.599998,32.359402,9506433
2015-04-27,32.799999,32.799999,32.150002,32.459999,32.220436,4166996
2015-04-28,32.590000,32.599998,31.549999,31.750000,31.515678,5668302
2015-04-29,31.809999,32.490002,31.110001,32.150002,31.912729,23522485
2015-04-30,32.000000,32.150002,31.020000,31.150000,30.920107,10336936
2015-05-04,31.850000,32.439999,31.030001,32.349998,32.111252,10882587
2015-05-05,32.349998,33.650002,32.070000,33.500000,33.252762,16027012
2015-05-06,31.990000,34.419998,31.879999,32.730000,32.488449,23679026
2015-05-07,32.799999,32.950001,31.190001,31.340000,31.108706,11345394
2015-05-08,31.870001,32.400002,31.180000,31.320000,31.088854,13927393
2015-05-11,31.530001,31.530001,30.760000,31.120001,30.890329,5675954
2015-05-12,30.959999,31.870001,30.950001,31.820000,31.585161,7056840
2015-05-13,31.889999,32.299999,31.850000,32.000000,31.763834,4966056
2015-05-14,32.220001,32.299999,32.000000,32.200001,31.962360,7436172
2015-05-15,32.090000,32.200001,31.520000,31.850000,31.614943,5075605
2015-05-18,31.850000,31.990000,31.299999,31.760000,31.525606,7186091
2015-05-19,31.900000,32.480000,31.719999,32.340000,32.101330,8934779
2015-05-20,32.000000,32.279999,31.900000,32.020000,31.783686,6364353
2015-05-21,32.000000,32.220001,31.520000,31.610001,31.376715,6044969
2015-05-22,31.660000,31.799999,31.370001,31.480000,31.247673,5569012
2015-05-25,31.780001,31.790001,31.209999,31.400000,31.168262,1060404
2015-05-26,31.360001,31.570000,30.530001,30.650000,30.423796,8634381
2015-05-27,30.600000,30.959999,30.049999,30.150000,29.927486,9795513
2015-05-28,30.480000,30.620001,29.700001,30.410000,30.185570,9421141
2015-05-29,30.280001,30.969999,30.170000,30.260000,30.036674,16135150
2015-06-01,30.309999,30.900000,30.200001,30.790001,30.562765,7077177
2015-06-02,30.510000,31.190001,30.370001,31.090000,30.860550,13153738
2015-06-03,31.090000,31.730000,31.000000,31.520000,31.287378,8381794
2015-06-04,31.480000,32.080002,31.200001,31.959999,31.724129,8935106
2015-06-05,31.959999,32.299999,31.700001,32.070000,31.833319,6850190
2015-06-08,31.629999,32.259998,31.629999,32.160000,31.922655,5747088
2015-06-09,32.250000,32.250000,31.420000,31.549999,31.317154,10200305
2015-06-10,31.750000,32.000000,31.049999,31.200001,30.969740,11391179
2015-06-11,31.250000,31.590000,30.900000,31.020000,30.791065,7897447
2015-06-12,31.320000,31.330000,30.799999,30.930000,30.701733,5696304
2015-06-15,31.080000,31.080000,30.170000,30.240000,30.016821,9094431
2015-06-16,30.120001,31.049999,30.120001,30.700001,30.473429,9868053
2015-06-17,30.820000,32.000000,30.400000,30.959999,30.731508,9829028
2015-06-18,31.000000,31.170000,30.879999,30.980000,30.751362,5105575
2015-06-19,30.850000,31.200001,30.600000,30.719999,30.493280,13287909
2015-06-22,30.950001,31.340000,30.760000,31.230000,30.999517,6671183
2015-06-23,31.299999,31.740000,31.280001,31.650000,31.416418,8662976
2015-06-24,31.650000,31.650000,31.030001,31.209999,30.979664,6498890
2015-06-25,31.070000,31.590000,31.049999,31.129999,30.900255,7087290
2015-06-26,31.379999,31.570000,31.080000,31.180000,30.949886,8203854
2015-06-29,30.850000,30.990000,30.090000,30.209999,29.987045,11966532
2015-06-30,30.209999,30.400000,29.809999,30.030001,29.808374,17438644
2015-07-01,30.309999,30.709999,30.230000,30.500000,30.274904,13134496
2015-07-02,30.450001,30.879999,30.200001,30.469999,30.245125,5835881
2015-07-03,30.410000,30.490000,30.120001,30.309999,30.086306,2130678
2015-07-06,30.110001,30.420000,29.900000,30.059999,29.838150,5938039
2015-07-07,30.010000,30.450001,29.760000,30.389999,30.165714,5479987
2015-07-08,30.230000,30.400000,30.000000,30.100000,29.877859,3764823
2015-07-09,30.600000,31.459999,30.600000,30.940001,30.711657,15845558
2015-07-10,31.400000,32.279999,31.090000,32.139999,31.902800,13279201
2015-07-13,32.200001,32.419998,31.809999,31.900000,31.664572,6043737
2015-07-14,31.809999,31.940001,31.370001,31.680000,31.446196,3720002
2015-07-15,31.760000,31.799999,31.160000,31.590000,31.356861,7500728
2015-07-16,31.570000,31.959999,31.570000,31.850000,31.614943,6821135
2015-07-17,31.799999,32.130001,31.790001,32.080002,31.843243,3324102
2015-07-20,32.160000,32.200001,31.879999,32.099998,31.863096,4587687
2015-07-21,32.099998,32.950001,32.009998,32.720001,32.478519,8575754
2015-07-22,33.299999,33.900002,33.299999,33.849998,33.600182,27813982
2015-07-23,33.930000,33.980000,33.139999,33.299999,33.054237,7133655
2015-07-24,33.000000,33.459999,32.619999,32.720001,32.478519,5992380
2015-07-27,32.509998,32.599998,32.000000,32.110001,31.873020,9349141
2015-07-28,32.240002,32.400002,32.000000,32.189999,31.952433,10349293
2015-07-29,32.000000,33.009998,31.910000,32.020000,31.783686,9757867
2015-07-30,32.049999,32.389999,32.000000,32.099998,31.863096,10468250
2015-07-31,32.099998,32.389999,31.950001,32.020000,31.783686,15163714
2015-08-03,31.850000,32.439999,31.830000,32.200001,31.962360,15790912
2015-08-04,32.250000,33.200001,32.240002,33.119999,32.875568,17535456
2015-08-05,33.070000,33.990002,33.070000,33.529999,33.282536,11841894
2015-08-06,33.520000,33.799999,33.299999,33.619999,33.371880,7606752
2015-08-07,33.570000,33.900002,33.410000,33.820000,33.570400,8443205
2015-08-10,33.700001,33.889999,33.430000,33.709999,33.461212,7169454
2015-08-11,33.709999,33.709999,32.799999,32.930000,32.686970,6462850
2015-08-12,33.080002,33.490002,32.270000,33.380001,33.133652,10437886
2015-08-13,33.389999,33.389999,32.500000,33.119999,32.875568,9213864
2015-08-14,33.119999,33.400002,32.709999,32.840000,32.597641,5089352
2015-08-17,32.990002,33.330002,32.509998,32.750000,32.508293,6783725
2015-08-18,32.700001,33.220001,32.610001,32.950001,32.706825,35220471
2015-08-19,32.700001,32.980000,32.200001,32.709999,32.468594,6790502
2015-08-20,32.340000,32.970001,32.340000,32.650002,32.409039,5486921
2015-08-21,32.750000,32.750000,31.629999,32.040001,31.803541,12233952
2015-08-24,30.500000,31.440001,28.590000,31.170000,30.939957,15331503
