Date,Open,High,Low,Close,Adj Close,Volume
2015-03-23,268.000000,277.529999,268.000000,276.850006,245.587509,218915
2015-03-24,277.700012,280.489990,274.299988,278.049988,246.651978,169353
2015-03-25,280.709991,282.230011,270.500000,272.299988,241.551239,132158
2015-03-26,270.500000,275.950012,268.000000,272.619995,241.835144,185956
2015-03-27,270.010010,273.239990,264.500000,268.540009,238.215851,167238
2015-03-30,264.510010,271.480011,264.500000,268.730011,238.384445,105852
2015-03-31,268.100006,275.600006,264.500000,265.420013,235.448181,285621
2015-04-01,271.899994,272.890015,263.130005,271.049988,240.442413,102959
2015-04-06,265.010010,279.980011,265.010010,276.149994,244.966476,264426
2015-04-07,277.600006,277.600006,268.500000,272.049988,241.329514,86194
2015-04-08,276.049988,276.049988,268.989990,269.500000,239.067459,138976
2015-04-09,269.500000,273.489990,265.959991,266.279999,236.211060,93823
2015-04-10,266.619995,271.500000,266.619995,270.130005,239.626328,61811
2015-04-13,265.500000,273.980011,265.500000,271.190002,240.566620,168630
2015-04-14,269.829987,271.649994,265.500000,266.350006,236.273163,241674
2015-04-15,265.700012,270.989990,265.160004,269.730011,239.271484,573491
2015-04-16,272.000000,274.000000,267.290009,273.250000,242.393997,132121
2015-04-17,274.500000,274.500000,265.000000,266.459991,236.370728,144756
2015-04-20,270.970001,270.970001,263.000000,264.220001,234.383713,86288
2015-04-21,263.989990,267.989990,260.000000,261.649994,232.103897,132098
2015-04-22,260.000000,263.760010,258.660004,260.600006,231.172455,153755
2015-04-23,262.350006,266.459991,260.750000,262.019989,232.432114,262638
2015-04-24,262.019989,267.899994,262.019989,265.179993,235.235260,123931
2015-04-27,265.989990,268.489990,261.329987,263.600006,235.172836,103939
2015-04-28,264.000000,267.790009,258.000000,261.989990,233.736450,174667
2015-04-29,261.989990,269.000000,261.989990,267.029999,238.232956,250759
2015-04-30,269.100006,269.100006,257.000000,260.209991,232.148438,1151746
2015-05-04,264.380005,268.970001,263.130005,267.850006,238.964478,251170
2015-05-05,267.010010,270.000000,267.010010,269.190002,240.160019,284237
2015-05-06,269.980011,273.970001,266.000000,271.980011,242.649155,131427
2015-05-07,269.000000,269.000000,263.750000,267.209991,238.393509,130436
2015-05-08,270.000000,270.000000,263.369995,268.390015,239.446274,173406
2015-05-11,270.000000,272.200012,266.500000,270.649994,241.462540,122277
2015-05-12,266.540009,273.500000,266.529999,270.549988,241.373337,280109
2015-05-13,270.750000,282.000000,270.630005,281.079987,250.767746,307814
2015-05-14,281.079987,288.200012,280.750000,286.420013,255.531876,211086
2015-05-15,287.000000,288.299988,282.779999,285.089996,254.345322,100994
2015-05-18,285.209991,290.429993,283.519989,285.660004,254.853867,149037
2015-05-19,285.660004,289.500000,281.000000,281.929993,251.526047,273370
2015-05-20,284.980011,285.309998,271.600006,273.239990,243.773254,176018
2015-05-21,278.089996,279.670013,275.440002,278.980011,248.894226,286958
2015-05-22,278.980011,278.980011,274.390015,275.760010,246.021469,98901
2015-05-25,274.000000,277.950012,273.700012,274.489990,244.888443,23213
2015-05-26,277.000000,278.000000,265.670013,266.220001,237.510300,240247
2015-05-27,265.600006,269.989990,265.000000,266.179993,237.474579,194875
2015-05-28,266.000000,269.959991,265.000000,267.600006,238.741486,179148
2015-05-29,267.600006,272.989990,265.109985,271.440002,242.167374,593546
2015-06-01,272.799988,273.000000,265.010010,268.769989,239.785263,105452
2015-06-02,270.000000,273.170013,266.529999,271.149994,241.908600,190264
2015-06-03,272.000000,272.859985,267.010010,269.750000,240.659622,100112
2015-06-04,269.000000,269.000000,266.000000,267.010010,238.215103,96967
2015-06-05,266.000000,274.989990,266.000000,269.790009,240.695297,96630
2015-06-08,271.100006,271.100006,263.910004,266.299988,237.581635,124024
2015-06-09,267.500000,268.010010,264.399994,265.230011,236.627075,67769
2015-06-10,270.529999,277.989990,265.000000,265.619995,236.974991,248788
2015-06-11,268.489990,270.839996,265.010010,266.179993,237.474579,96380
2015-06-12,269.980011,269.980011,265.019989,266.730011,237.965317,103433
2015-06-15,265.070007,271.899994,265.000000,270.589996,241.409027,94226
2015-06-16,269.000000,270.489990,266.079987,266.549988,237.804688,79854
